country,cabr,year,cut,subcut,indicator,value,se,N,method
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_disp3,95.5003891,2.0020647,137.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_disp4,96.17971802,1.4853549,133.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_disp5,94.2682724,1.9877344,131.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_disp6,91.36439514,2.5641022,153.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,fin1,57.66122818,13.101143,109.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,fin11,98.00787354,1.4173033,85.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,fin12,21.35473824,5.8750124,111.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,fin13,54.73464203,8.342609,163.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,fin14,56.0105896,8.979688,163.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,fin16,10.51811981,3.8615963,171.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,fin20,41.09593582,8.846632,163.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,fin21,0,0.0,74.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,fin23,1.723003626,0.80295,157.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,fin24,7.968614101,2.9148505,157.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_fin26,4.992240906,2.1261227,84.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_fin27,10.57174683,3.195695,57.0,Global
